id,gender,height_cm,weight_kg,sleep_hours,study_hours
1,male,168.2,68.1,4.6,0.9
2,male,170.7,72.4,5.4,4.3
3,female,151.0,61.3,7.4,0.3
4,male,166.5,77.7,7.3,2.8
5,female,153.2,62.4,6.4,1.6
6,female,152.9,65.4,7.3,3.6
7,male,171.0,68.4,6.8,0.6
8,female,156.4,69.9,8.7,3.1
9,female,156.2,65.8,6.5,0.9
10,female,157.9,67.6,8.1,1.1
11,female,156.9,70.2,7.0,1.0
12,male,170.5,81.0,6.9,1.8
13,male,174.8,70.3,8.3,1.9
14,female,,57.3,7.8,2.1
15,male,180.2,73.0,6.0,1.5
16,female,162.5,63.4,6.6,1.6
17,male,171.3,72.0,7.1,2.5
18,male,163.4,68.5,8.4,1.6
19,male,178.2,74.8,7.8,3.1
20,male,177.4,83.2,7.6,1.9
21,male,176.5,80.7,7.7,1.2
22,male,168.7,65.7,7.6,3.6
23,male,175.5,74.1,6.9,2.5
24,female,154.9,64.9,5.4,2.5
25,female,153.8,59.7,7.8,2.6
26,male,178.7,87.1,5.8,1.9
27,female,160.8,70.0,6.4,1.4
28,male,170.5,75.8,6.6,0.6
29,female,160.6,66.5,7.2,2.7
30,male,181.4,72.1,7.5,1.9
31,female,156.2,66.5,7.0,2.6
32,female,162.6,68.6,4.7,0.6
33,male,183.9,75.3,8.1,2.0
34,male,173.2,71.5,8.4,0.7
35,female,161.1,67.7,7.5,0.0
36,female,152.7,60.3,6.0,1.0
37,male,184.1,80.4,7.2,2.2
38,female,160.4,65.8,7.3,2.1
39,male,181.1,72.3,7.7,1.9
40,male,175.6,79.2,9.7,0.9
41,male,165.0,70.4,6.6,2.6
42,female,161.5,60.9,6.1,1.5
43,male,170.6,68.6,4.3,1.9
44,female,157.7,58.0,5.9,2.8
45,male,171.3,75.4,6.7,2.2
46,female,151.8,73.5,7.7,1.7
47,male,154.9,66.1,7.8,2.6
48,male,175.7,68.8,6.3,2.1
49,female,166.3,72.3,7.0,1.3
50,female,163.3,70.8,5.6,3.1
51,female,171.9,69.0,7.3,2.2
52,female,173.5,66.2,7.5,0.1
53,male,171.8,72.8,7.2,1.1
54,male,171.9,81.2,5.9,2.0
55,male,169.1,70.1,7.2,1.3
56,male,170.3,67.1,5.7,1.6
57,female,161.3,73.5,6.4,1.1
58,male,176.3,68.9,7.4,1.6
59,female,152.8,65.7,8.1,1.8
60,male,173.9,75.0,6.5,2.0
61,female,160.3,65.7,7.7,2.4
62,female,159.7,61.0,7.6,1.8
63,male,169.3,81.3,8.2,2.9
64,male,179.6,72.4,6.4,1.2
65,male,164.8,59.1,6.6,1.2
66,female,154.2,69.8,5.6,1.8
67,female,160.0,75.5,5.5,2.2
68,male,164.8,62.4,6.4,1.5
69,female,158.5,68.0,5.7,2.3
70,male,171.1,66.1,6.7,2.0
71,male,172.6,69.2,8.3,1.8
72,male,173.3,68.4,7.7,2.0
73,male,168.4,62.9,7.3,0.9
74,male,,74.6,5.8,1.7
75,female,157.4,63.0,6.7,3.1
76,male,166.7,80.5,6.8,0.7
77,female,153.9,66.3,6.5,2.3
78,male,161.6,71.4,7.8,2.0
79,female,155.1,64.9,5.9,1.3
80,female,165.5,76.5,6.3,1.6
81,female,156.3,69.3,8.2,2.1
82,male,168.6,68.7,7.9,1.9
83,male,174.0,71.8,6.6,0.7
84,female,152.9,55.4,7.7,3.1
85,male,175.0,67.4,6.6,1.9
86,male,174.5,72.7,7.2,4.0
87,male,168.4,78.5,8.7,4.1
88,female,148.3,65.5,5.8,1.2
89,male,168.0,67.2,8.0,2.0
90,male,180.2,76.0,6.8,0.1
91,female,158.2,65.2,8.6,4.6
92,female,158.9,64.3,6.5,1.6
93,female,159.6,66.9,6.2,2.4
94,female,153.1,69.9,8.2,1.9
95,male,179.1,73.4,7.5,2.5
96,male,174.5,65.6,5.5,2.2
97,male,184.2,84.6,6.1,2.9
98,male,173.4,,6.4,2.2
99,female,159.0,74.9,7.4,1.1
100,female,149.0,67.8,7.3,4.0
101,male,168.6,70.0,8.9,1.8
102,female,153.5,66.6,7.2,1.1
103,male,172.0,63.5,6.2,1.4
104,male,165.6,67.5,6.2,0.7
105,female,158.0,69.3,7.0,3.9
106,female,157.3,69.5,7.1,2.5
107,male,167.0,77.3,6.9,3.5
108,male,165.1,70.4,5.8,1.2
109,male,182.5,79.0,5.4,1.4
110,male,180.2,79.6,7.2,2.4
111,male,171.2,75.9,5.6,2.1
112,male,165.8,71.8,6.1,3.4
113,female,154.5,68.7,6.1,0.8
114,female,150.0,69.9,6.3,2.1
115,female,161.0,63.4,7.4,2.4
116,female,164.8,67.9,7.1,2.4
117,male,171.1,66.7,6.7,0.7
118,female,156.2,70.1,7.2,2.7
119,male,168.7,62.6,6.3,0.9
120,male,176.4,75.5,7.5,2.6
121,female,159.2,70.4,6.6,1.2
122,female,152.1,64.4,7.2,2.4
123,male,160.0,69.0,6.6,2.1
124,male,178.9,68.9,6.1,2.5
125,female,160.3,70.3,5.0,4.3
126,male,184.8,83.4,4.3,1.3
127,female,151.5,66.4,5.8,3.1
128,male,170.6,77.1,5.6,0.1
129,female,153.0,61.8,7.3,0.2
130,male,176.7,75.2,7.9,1.6
131,female,162.0,73.1,8.2,1.3
132,female,161.5,68.0,7.2,2.5
133,male,177.5,70.9,6.0,1.6
134,female,151.7,62.2,6.0,0.3
135,male,176.3,69.8,7.6,2.9
136,male,170.1,73.7,5.3,1.9
137,female,162.4,71.4,6.2,1.9
138,female,155.4,64.2,8.0,2.0
139,male,168.3,60.1,7.2,2.3
140,female,154.5,65.5,7.5,0.6
141,male,166.3,62.5,8.5,0.6
142,male,167.5,68.5,9.3,1.0
143,female,162.7,61.8,8.4,2.7
144,female,167.2,72.0,5.7,4.5
145,female,163.6,73.9,6.2,2.6
146,male,169.1,74.8,5.8,1.2
147,male,175.1,66.5,8.4,1.1
148,male,174.0,80.9,7.7,3.8
149,male,174.1,69.9,7.5,1.2
150,female,167.0,68.4,6.9,1.7
151,male,179.9,75.0,6.0,2.7
152,female,162.4,66.7,6.5,0.1
153,male,180.9,79.7,7.1,1.4
154,female,152.6,64.5,8.0,0.8
155,female,152.0,63.6,7.1,3.1
156,female,154.4,68.6,7.2,2.3
157,female,158.0,52.9,6.3,2.0
158,female,155.5,66.6,4.9,0.8
159,male,183.1,78.3,6.0,2.7
160,female,157.9,70.5,5.8,2.7
161,male,177.4,71.0,6.5,3.6
162,male,158.8,66.5,6.7,1.6
163,female,154.3,57.5,5.8,2.4
164,male,166.7,78.5,5.1,1.0
165,male,175.4,67.0,5.4,2.5
166,male,166.4,74.7,7.0,2.1
167,male,170.8,77.9,6.6,1.7
168,male,177.3,73.9,7.3,2.4
169,male,169.9,68.2,7.5,2.7
170,male,171.0,71.5,8.2,2.4
171,male,175.4,75.5,5.1,2.2
172,male,165.1,70.6,7.2,3.4
173,female,161.2,63.0,8.7,0.2
174,female,156.7,67.8,6.0,2.4
175,female,156.4,58.9,5.7,3.0
176,male,174.7,75.0,7.0,1.9
177,female,159.8,62.5,5.9,2.0
178,male,177.0,68.2,5.9,1.8
179,female,166.6,72.0,5.0,0.0
180,male,171.5,72.7,8.6,1.2
181,male,175.0,77.2,7.4,0.0
182,male,180.6,76.3,8.2,3.8
183,female,155.7,67.1,8.6,1.1
184,male,175.7,79.9,6.3,1.4
185,female,163.8,59.7,4.8,2.3
186,male,177.9,81.9,5.1,0.4
187,male,171.1,75.1,7.3,1.3
188,male,174.0,70.1,6.7,0.1
189,female,159.5,65.6,5.6,1.7
190,male,180.8,79.8,4.4,2.9
191,female,158.0,71.3,7.5,1.7
192,male,180.1,80.8,7.6,4.3
193,male,169.1,68.9,5.6,1.0
194,male,174.7,72.6,5.5,1.0
195,female,157.5,61.5,5.3,2.1
196,male,170.3,65.6,7.2,0.9
197,male,184.9,72.4,5.5,2.4
198,female,155.4,61.1,8.0,1.9
199,male,170.1,,7.7,0.2
200,male,180.0,77.0,4.8,2.3
201,female,148.3,67.3,8.7,2.7
202,female,152.6,66.1,7.1,1.4
203,male,175.4,72.6,7.0,2.2
204,male,165.9,66.4,6.3,3.2
205,male,,71.9,6.9,3.0
206,female,157.8,66.7,7.5,1.7
207,female,157.7,60.6,5.2,1.7
208,female,158.1,61.7,6.3,2.8
209,male,176.0,73.9,7.8,2.3
210,male,171.8,75.0,6.4,3.0
211,male,175.4,73.5,8.0,1.7
212,female,154.9,65.3,7.6,1.7
213,female,165.9,66.8,8.1,1.6
214,female,155.2,65.3,5.5,2.7
215,male,180.8,75.8,6.6,1.1
216,female,149.3,57.4,5.7,2.6
