date,population_15plus,at_work,absent_from_work,complete_unemployed
2018-01,11114,6394,184,159
2018-02,11113,6416,178,166
2018-03,11113,6428,209,174
2018-04,11111,6538,151,181
2018-05,11117,6577,139,159
2018-06,11124,6556,150,169
2018-07,11117,6495,184,173
2018-08,11113,6510,193,171
2018-09,11118,6564,171,163
2018-10,11120,6598,148,164
2018-11,11119,6575,155,169
2018-12,11110,6501,178,160
2019-01,11114,6462,187,167
2019-02,11106,6500,178,157
2019-03,11108,6491,219,175
2019-04,11108,6553,178,177
2019-05,11112,6606,150,166
2019-06,11113,6625,148,163
2019-07,11116,6570,188,157
2019-08,11111,6574,204,158
2019-09,11113,6632,164,169
2019-10,11118,6655,160,165
2019-11,11119,6629,163,152
2019-12,11107,6578,188,146
2020-01,11109,6521,196,160
2020-02,11106,6522,198,160
2020-03,11107,6480,251,177
2020-04,11104,6061,599,190
2020-05,11108,6262,425,199
2020-06,11111,6464,238,196
2020-07,11111,6466,222,198
2020-08,11103,6491,218,207
2020-09,11111,6524,199,211
2020-10,11113,6564,171,217
2020-11,11112,6572,178,196
2020-12,11097,6504,204,195
2021-01,11100,6433,245,199
2021-02,11097,6463,230,195
2021-03,11091,6474,221,189
2021-04,11089,6503,200,211
2021-05,11102,6500,214,213
2021-06,11093,6554,184,207
2021-07,11090,6543,214,193
2021-08,11084,6490,250,194
2021-09,11077,6516,210,194
2021-10,11074,6539,166,184
2021-11,11072,6529,167,183
2021-12,11071,6516,190,173
2022-01,11065,6396,249,185
2022-02,11060,6415,242,180
2022-03,11054,6441,243,180
2022-04,11041,6537,190,188
2022-05,11032,6565,164,191
2022-06,11026,6602,157,186
2022-07,11023,6497,258,176
2022-08,11022,6483,268,177
2022-09,11033,6572,194,187
2022-10,11037,6581,174,178
2022-11,11037,6537,187,165
2022-12,11032,6484,232,158
2023-01,11022,6471,219,164
2023-02,11012,6462,205,174
2023-03,11012,6472,227,193
2023-04,11018,6574,166,190
2023-05,11022,6596,148,188
2023-06,11028,6622,163,179
2023-07,11029,6575,197,183
2023-08,11023,6561,212,186
2023-09,11015,6606,181,182
2023-10,11015,6605,166,175
2023-11,11011,6599,181,169
2023-12,11000,6551,203,156
2024-01,10993,6523,191,163
2024-02,10994,6522,206,177
2024-03,10999,6481,245,185
2024-04,10995,6568,182,193
2024-05,10994,6600,166,193
2024-06,11002,6648,174,181
2024-07,10995,6600,196,188
2024-08,10992,6594,221,175
2024-09,10996,6638,176,173
2024-10,10998,6639,174,170
2024-11,10997,6627,187,164
2024-12,10984,6586,225,154
2025-01,10982,6560,219,163
2025-02,10976,6558,210,165
2025-03,10975,6536,234,180
2025-04,10972,6603,193,188
2025-05,10976,6650,188,183
2025-06,10972,6706,167,176
2025-07,10976,6649,201,169
2025-08,10967,6627,209,182
2025-09,10974,6684,179,184
2025-10,10975,6683,182,183
2025-11,10975,6663,199,171
2025-12,10957,6609,233,166
2026-01,10951,6567,209,179
2026-02,10953,6566,212,180
2026-03,10956,6529,244,194
2026-04,10955,6657,203,193
